timestamp,experiment_time_hours,radiation_dose_krad,alarm_f_hex,alarm_rf_hex,triggered_count_f,triggered_count_rf,triggered_bits_f,triggered_bits_rf,bitstream_name,phase_degrees,slack_ns,fpga_temp_c,vccint_v,vcore_v,ambient_temp_c,event_type,notes
2026-01-13T20:17:32.807834,0.0,0.0,0xFDFFFFF4,0x00000052,28,3,"2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31","1,4,6",,0.0,0.0,50.77,1.036,0.996,37.0,alarm,
2026-01-13T20:24:33.307405,0.0,0.0,0xFDFFFFF4,0x00000052,28,3,"2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31","1,4,6",,0.0,0.0,53.32,1.034,0.994,38.0,alarm,
2026-01-13T20:32:43.798389,0.0,0.0,0xFDFFFFF4,0x00000052,28,3,"2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31","1,4,6",,0.0,0.0,51.78,1.036,0.994,38.0,alarm,
2026-01-13T20:36:38.291684,0.0,0.0,0xFDFFFFF4,0x00000052,28,3,"2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31","1,4,6",,0.0,0.0,51.11,1.035,0.994,38.0,alarm,
2026-01-13T20:57:32.449808,0.0,0.0,0xFDC7BFF4,0x00000040,24,1,"2,4,5,6,7,8,9,10,11,12,13,15,16,17,18,22,23,24,26,27,28,29,30,31",6,,0.0,0.0,0.0,0.0,0.0,0.0,alarm,
2026-01-13T20:57:32.940793,0.0,0.0,0xFDFFFFF4,0x00000052,4,2,"14,19,20,21","1,4",croc_xilinx.bit,0.0,0.0,51.82,1.034,0.994,38.0,alarm,
2026-01-13T20:58:39.995486,0.0,0.0,0xFDD7BFF4,0x000003F6,0,5,,"2,5,7,8,9",croc_xilinx.bit,0.0,0.0,52.41,1.037,0.994,37.0,alarm,
2026-01-13T20:58:40.479617,0.0,0.0,0xFDFFFFF4,0x000003F6,3,0,"14,19,21",,croc_xilinx.bit,0.0,0.0,50.83,0.88,0.994,37.0,alarm,
2026-01-13T21:02:40.376151,0.0,0.0,0xFDFFFFF4,0x000003F6,3,0,"14,19,21",,croc_xilinx.bit,0.0,0.0,51.26,0.878,0.842,37.0,alarm,
2026-01-13T21:03:56.669833,0.0,0.0,0xFDFFFFF4,0x000003F6,3,0,"14,19,21",,croc_xilinx.bit,0.0,0.0,51.03,0.877,0.84,37.0,alarm,
2026-01-13T21:13:36.161750,0.0,0.0,0xFDFFFFF4,0x000003F6,28,8,"2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31","1,2,4,5,6,7,8,9",,0.0,0.0,50.61,0.88,0.0,0.0,alarm,
2026-01-13T21:16:48.979364,0.0,0.0,0xFDFFFFFC,0x00A007F6,1,3,3,"10,21,23",,0.0,0.0,51.36,0.723,0.994,37.0,alarm,
2026-01-13T21:16:49.151770,0.0,0.0,0xFFFFFFFC,0xEEFFFFFF,1,19,25,"0,3,11,12,13,14,15,16,17,18,19,20,22,25,26,27,29,30,31",,0.0,0.0,51.47,0.725,0.994,37.0,alarm,
2026-01-13T21:17:59.295157,0.0,0.0,0xFDFFFFF4,0x000003F6,4,0,"14,19,20,21",,,0.0,0.0,50.39,0.878,0.84,37.0,alarm,
2026-01-13T21:18:08.264121,0.0,0.0,0xFDFFFFFC,0x00A007F6,1,3,3,"10,21,23",,0.0,0.0,52.34,0.877,0.692,37.0,alarm,
2026-01-13T21:18:08.285262,0.0,0.0,0xFFFFFFFC,0xEEFFFFFF,1,19,25,"0,3,11,12,13,14,15,16,17,18,19,20,22,25,26,27,29,30,31",,0.0,0.0,52.85,0.723,0.692,37.0,alarm,
2026-01-13T21:18:15.028302,0.0,0.0,0xFDFFFFF4,0x00000052,4,2,"14,19,20,21","1,4",,0.0,0.0,50.38,1.034,0.994,37.0,alarm,
2026-01-13T21:26:48.014722,0.0,0.0,0xFDFFFFF4,0x00000052,28,3,"2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31","1,4,6",,0.0,0.0,52.35,1.036,0.0,0.0,alarm,
2026-01-13T21:26:53.503545,0.0,0.0,0xFDFFFFFC,0x00A006D2,1,5,3,"7,9,10,21,23",,0.0,0.0,52.48,0.724,0.692,38.0,alarm,
2026-01-13T21:26:53.521055,0.0,0.0,0xFFFFFFFC,0xEEFFFFFF,1,22,25,"0,2,3,5,8,11,12,13,14,15,16,17,18,19,20,22,25,26,27,29,30,31",,0.0,0.0,53.3,0.724,0.692,38.0,alarm,
2026-01-13T21:28:57.474670,0.0,0.0,0xFDFFFFF4,0x00000052,4,2,"14,19,20,21","1,4",,0.0,0.0,52.41,1.037,0.996,37.0,alarm,
2026-01-13T21:29:14.020672,0.0,0.0,0xFDFFFFFC,0x00A006F2,1,6,3,"5,7,9,10,21,23",,0.0,0.0,52.69,0.724,0.994,37.0,alarm,
2026-01-13T21:29:14.479335,0.0,0.0,0xFFFFFFFC,0xEEFFFFFF,1,21,25,"0,2,3,8,11,12,13,14,15,16,17,18,19,20,22,25,26,27,29,30,31",,0.0,0.0,51.93,0.726,0.695,37.0,alarm,
2026-01-13T21:31:49.537780,0.0,0.0,0xFDFFFFF4,0x00000052,4,2,"14,19,20,21","1,4",,0.0,0.0,52.13,1.035,0.996,38.0,alarm,
2026-01-13T21:35:07.921594,0.0,0.0,0xFDFFFFFC,0x00A006F2,1,6,3,"5,7,9,10,21,23",,0.0,0.0,51.71,0.724,0.692,38.0,alarm,
2026-01-13T21:35:08.033478,0.0,0.0,0xFFFFFFFC,0xEEFFFFFF,1,21,25,"0,2,3,8,11,12,13,14,15,16,17,18,19,20,22,25,26,27,29,30,31",,0.0,0.0,51.51,0.726,0.692,38.0,alarm,
2026-01-13T21:37:33.803502,0.0,0.0,0xFFFFFFFC,0xEEFFFFFF,30,30,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,29,30,31",,0.0,0.0,0.0,0.0,0.695,37.0,alarm,
2026-01-13T21:39:43.145447,0.0,0.0,0xFDFFFFF4,0x00000052,4,2,"14,19,20,21","1,4",croc_xilinx.bit,0.0,0.0,52.69,1.035,0.994,38.0,alarm,
2026-01-13T21:40:16.742183,0.0,0.0,0xFDFFFFFC,0x00A006F2,1,6,3,"5,7,9,10,21,23",croc_xilinx.bit,0.0,0.0,51.68,0.726,0.695,37.0,alarm,
2026-01-13T21:40:17.150033,0.0,0.0,0xFFFFFFFC,0xEEFFFFFF,1,21,25,"0,2,3,8,11,12,13,14,15,16,17,18,19,20,22,25,26,27,29,30,31",croc_xilinx.bit,0.0,0.0,51.11,0.722,0.695,37.0,alarm,
2026-01-13T21:41:20.635997,0.0,0.0,0xFDFFFFF4,0x00000052,4,2,"14,19,20,21","1,4",croc_xilinx.bit,0.0,0.0,51.47,1.034,0.994,37.0,alarm,
2026-01-13T21:41:27.720124,0.0,0.0,0xFDFFFFFC,0x00A006F2,1,6,3,"5,7,9,10,21,23",croc_xilinx.bit,0.0,0.0,51.76,0.725,0.692,37.0,alarm,
2026-01-13T21:41:28.142980,0.0,0.0,0xFFFFFFFC,0xEEFFFFFF,1,21,25,"0,2,3,8,11,12,13,14,15,16,17,18,19,20,22,25,26,27,29,30,31",croc_xilinx.bit,0.0,0.0,50.92,0.725,0.695,37.0,alarm,
2026-01-13T21:43:26.186127,0.0,0.0,0xFDFFFFF4,0x00000052,4,2,"14,19,20,21","1,4",croc_xilinx.bit,0.0,0.0,53.14,1.037,0.994,38.0,alarm,
2026-01-13T21:45:16.181078,0.0,0.0,0xFDFFFFF4,0x00000052,28,3,"2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31","1,4,6",,0.0,0.0,52.66,1.04,0.994,38.0,alarm,
2026-01-13T21:45:21.230609,0.0,0.0,0xFDFFFFFC,0x00A006F2,1,6,3,"5,7,9,10,21,23",,0.0,0.0,51.73,0.725,0.695,38.0,alarm,
2026-01-13T21:45:21.684753,0.0,0.0,0xFFFFFFFC,0xEEFFFFFF,1,21,25,"0,2,3,8,11,12,13,14,15,16,17,18,19,20,22,25,26,27,29,30,31",,0.0,0.0,51.96,0.726,0.695,38.0,alarm,
2026-01-13T21:46:07.480567,0.0,0.0,0xFDFFFFF4,0x00000052,4,2,"14,19,20,21","1,4",croc_xilinx.bit,0.0,0.0,50.72,1.035,0.994,38.0,alarm,
