Tempo Decorrido (s),Dado Recebido
0.00,25
5.00,28.25
10.00,28.19
15.00,28.19
20.00,28.12
25.00,28.12
30.00,28.06
35.00,28.00
40.01,28.00
45.01,28.00
50.01,27.94
55.01,27.88
60.01,27.88
65.01,27.81
70.01,27.81
75.01,27.75
80.01,27.75
85.01,27.69
90.01,27.69
95.01,27.62
100.01,27.62
105.02,27.56
110.02,27.56
115.02,27.50
120.02,27.50
125.02,27.50
130.02,27.44
135.02,27.38
140.02,27.38
145.02,27.38
150.02,27.31
155.02,27.31
160.02,27.25
165.02,27.25
170.02,27.19
175.03,27.19
180.03,27.12
185.03,27.12
190.03,27.12
195.03,27.06
200.03,27.06
205.03,27.00
210.03,27.00
215.03,27.00
220.03,26.94
225.03,26.94
230.03,26.88
235.03,26.88
240.03,26.88
245.03,26.81
250.04,26.81
255.04,26.75
260.04,26.75
265.04,26.75
270.04,26.69
275.04,26.69
280.04,26.69
285.04,26.62
290.04,26.62
295.04,26.62
300.04,26.62
305.04,26.56
310.04,26.56
315.04,26.56
320.05,26.50
325.05,26.50
330.05,26.50
335.05,26.44
340.05,26.44
345.05,26.44
350.05,26.38
355.05,26.38
360.05,26.38
365.05,26.38
370.05,26.31
375.05,26.31
0.36,24.38
5.36,24.38
10.36,24.38
15.36,24.38
20.37,24.38
25.37,24.38
30.37,24.38
35.37,24.38
40.37,24.38
45.37,24.38
50.37,24.44
55.37,24.50
60.37,24.62
65.37,24.75
70.37,24.88
75.37,25.06
80.37,25.19
85.37,25.25
90.37,25.38
95.37,25.44
100.38,25.50
105.38,25.56
110.38,25.62
115.38,25.69
120.38,25.75
125.38,25.75
130.38,25.81
135.38,25.81
140.38,25.81
145.38,25.81
150.38,25.81
155.38,25.81
160.38,25.81
165.38,25.81
170.38,25.81
175.39,25.75
180.39,-0.06
185.39,25.75
190.39,25.75
195.39,25.69
200.39,25.69
205.39,25.62
210.39,25.62
215.39,25.56
220.39,25.56
225.39,25.50
230.39,25.50
235.39,25.44
240.39,25.38
245.39,25.38
250.39,25.38
255.40,25.31
260.40,25.25
265.40,25.25
270.40,25.25
275.40,25.19
280.40,25.19
285.40,25.12
290.40,25.12
295.40,25.06
300.40,25.06
305.40,25.06
310.40,25.06
315.40,25.12
320.40,25.19
325.40,25.25
330.41,25.31
335.41,25.38
340.41,25.44
345.41,25.50
